DAT,Variety,Treatment,Reply,Main shoot height (cm),Flowering (trusses number),Fruit set (trusses number),Trusses maturing (number),Species,Phenological phase,GDD cumulative,ABA (ng/mg),Antioxidant capacity (μmol Fe II/g FW),Ripe fruits (number),Average air temperature (°C),Average air humidity (%RH),Average daily solar radiation (MJ m-2 day-1),Total chlorophyll (μg/g FW),Fruits EC (mS/cm),Electrolytic leakage (μS/cm),Flavonoids (mg/g FW),Fv/Fm,GA4 (ng/mg),IAA (ng/mg),JA (ng/mg),Lutein (μg/g FW),Fruits lycopene (μg/g DW),Melatonin (ng/mg),Metatopolin (ng/mg),Main shoot leaves (number),Main shoot nodes (number),Osmolytes (osm/kg),Phenols (mg/g FW),Relative water content (%),SA (ng/mg),Stomatal conductance (μmol/sec),Violaxanthin (μg/g FW),Z (ng/mg),Acidity (g citric acid/100 g),Fruits β carotene (μg/g DW),Fruits dry weight (g),Fruits dry weight (%),Fruits firmness (kg/cm2),Lateral shoots (number),Leaves surface (cm²),Fruits pH,Fruits soluble solids (°brix),Stem diameter (cm),Total fresh weight (g),Total dry weight (g),Dry matter (%),Na/K ratio leaves,Na/Ca ratio leaves,Na/K ratio roots,Na/Ca ratio roots,pH,Electrical Conductivity (mS/cm),soluble solids (°brix),dry weight (g),dry weight% (%),firmness (kg/cm2),fresh weight 10 fruits (g),Lycopene (micro  g/g DW),beta-carotene (micro  g/g DW),Ripening (trusses number),Cumulative floral truss fruits (number),Cumulative floral truss length (cm),Days_to_next_phase_from_prev_start,Days_to_next_phase_from_time_0
23.0,CV,C,3,47.0,0.0,0.0,0.0,S.lycopersicum,bloom,336.3,,,,17.2,75.7,6.11,,,,,,,,,,,,,13.833333333333334,13.833333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,7.0,30.0
23.0,CV,C,4,60.0,1.0,0.0,0.0,S.lycopersicum,bloom,336.3,,,,17.2,75.7,6.11,,,,,,,,,,,,,13.833333333333334,13.833333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,7.0,30.0
23.0,CV,C,5,47.0,0.0,0.0,0.0,S.lycopersicum,bloom,336.3,,,,17.2,75.7,6.11,,,,,,,,,,,,,13.833333333333334,13.833333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,7.0,30.0
23.0,CV,C,6,52.0,0.0,0.0,0.0,S.lycopersicum,bloom,336.3,,,,17.2,75.7,6.11,,,,,,,,,,,,,13.833333333333334,13.833333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,7.0,30.0
23.0,CV,S1,1,47.0,0.0,0.0,0.0,S.lycopersicum,vegetative,336.3,,,,17.2,75.7,6.11,,,,,,,,,,,,,13.5,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,21.0,30.0
23.0,CV,S1,2,66.0,0.0,0.0,0.0,S.lycopersicum,vegetative,336.3,,,,17.2,75.7,6.11,,,,,,,,,,,,,13.5,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,21.0,30.0
23.0,CV,S1,3,44.0,0.0,0.0,0.0,S.lycopersicum,vegetative,336.3,,,,17.2,75.7,6.11,,,,,,,,,,,,,13.5,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,21.0,30.0
23.0,CV,S1,4,46.0,0.0,0.0,0.0,S.lycopersicum,vegetative,336.3,,,,17.2,75.7,6.11,,,,,,,,,,,,,13.5,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,21.0,30.0
23.0,CV,S1,5,44.0,0.0,0.0,0.0,S.lycopersicum,vegetative,336.3,,,,17.2,75.7,6.11,,,,,,,,,,,,,13.5,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,21.0,30.0
23.0,CV,S1,6,52.0,0.0,0.0,0.0,S.lycopersicum,vegetative,336.3,,,,17.2,75.7,6.11,,,,,,,,,,,,,13.5,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,21.0,30.0
